temperature,humidity,feed_intake,water_consumption,activity_level,symptoms,disease
41.3,74.9,Medium,Medium,Active,None,Healthy
41.4,81.5,Medium,Medium,Moderate,Swollen Head|Reduced Egg Production|Twisted Neck|Ruffled Feathers|Coughing|Watery Eyes,Avian Influenza
42.4,77.7,Low,High,Moderate,Nasal Discharge|Sneezing|Reduced Egg Production|Twisted Neck,Newcastle Disease
42.0,63.2,Low,Medium,Weak,Twisted Neck|Diarrhea|Coughing|Difficulty Breathing|Reduced Feeding|Reduced Egg Production|Swollen Head,Newcastle Disease
42.0,83.0,Low,Low,Moderate,Ruffled Feathers|Coughing|Lethargy|Watery Eyes|Difficulty Breathing|Reduced Egg Production|Reduced Feeding,Newcastle Disease
42.4,65.1,Low,Medium,Weak,Lethargy|Ruffled Feathers|Watery Eyes|Twisted Neck,Newcastle Disease
40.7,45.9,High,High,Moderate,Lethargy,Healthy
42.6,69.1,Medium,Low,Moderate,Lethargy|Twisted Neck|Nasal Discharge|Difficulty Breathing,Newcastle Disease
40.6,52.4,High,Medium,Active,None,Healthy
41.2,76.8,Low,Medium,Moderate,Swollen Head|Difficulty Breathing|Watery Eyes|Lethargy,Avian Influenza
42.6,89.4,Low,Medium,Weak,Sneezing|Swollen Head|Ruffled Feathers,Avian Influenza
41.4,84.0,Low,Low,Weak,Ruffled Feathers|Watery Eyes|Swollen Head|Lethargy|Sneezing|Coughing,Avian Influenza
43.3,75.3,Low,Medium,Weak,Coughing|Twisted Neck|Sneezing|Nasal Discharge,Newcastle Disease
42.8,82.4,Medium,Medium,Weak,Twisted Neck|Reduced Egg Production|Diarrhea|Difficulty Breathing|Nasal Discharge|Lethargy,Newcastle Disease
41.2,64.9,High,Medium,Weak,Reduced Feeding|Watery Eyes,Healthy
41.8,74.9,Low,Low,Weak,Lethargy|Reduced Feeding|Difficulty Breathing,Avian Influenza
41.3,53.4,Low,High,Moderate,None,Healthy
43.1,63.3,Low,Low,Moderate,Sneezing|Reduced Egg Production|Lethargy|Coughing|Twisted Neck|Reduced Feeding|Nasal Discharge,Newcastle Disease
40.8,48.7,High,High,Moderate,None,Healthy
41.7,68.7,Low,High,Active,Twisted Neck,Healthy
42.5,86.8,Medium,High,Weak,Sneezing|Twisted Neck|Reduced Egg Production,Newcastle Disease
41.4,57.5,High,High,Moderate,Sneezing,Healthy
43.3,86.6,Medium,Medium,Weak,Reduced Feeding|Watery Eyes|Nasal Discharge|Sneezing|Coughing|Difficulty Breathing|Swollen Head,Avian Influenza
40.9,71.0,High,High,Active,Difficulty Breathing,Healthy
41.2,59.5,Medium,Medium,Moderate,None,Healthy
41.8,52.8,Low,Low,Moderate,Ruffled Feathers|Coughing|Sneezing|Watery Eyes|Diarrhea|Reduced Feeding|Reduced Egg Production,Newcastle Disease
40.3,63.0,Medium,High,Active,None,Healthy
40.8,44.6,High,High,Moderate,None,Healthy
42.4,50.2,Medium,Low,Weak,Watery Eyes|Difficulty Breathing|Swollen Head|Lethargy|Sneezing|Coughing,Avian Influenza
41.8,62.4,High,High,Active,None,Healthy
42.6,74.6,Medium,Low,Moderate,Difficulty Breathing|Ruffled Feathers|Coughing|Nasal Discharge,Avian Influenza
41.6,47.5,Medium,High,Active,Reduced Feeding|Nasal Discharge,Healthy
40.9,71.2,High,Low,Active,Reduced Egg Production|Ruffled Feathers,Healthy
42.4,74.1,Low,Low,Weak,Ruffled Feathers|Sneezing|Lethargy|Nasal Discharge|Difficulty Breathing|Diarrhea,Avian Influenza
41.7,56.9,Low,High,Active,Nasal Discharge,Healthy
41.3,60.8,Medium,Medium,Weak,Nasal Discharge,Healthy
41.1,58.0,Medium,Medium,Active,Lethargy,Healthy
41.6,54.1,Medium,Low,Active,None,Healthy
42.1,68.1,Medium,High,Weak,Difficulty Breathing|Watery Eyes|Coughing|Ruffled Feathers|Nasal Discharge,Avian Influenza
41.3,65.0,High,High,Moderate,None,Healthy
41.8,78.7,Low,Medium,Weak,Coughing|Sneezing|Reduced Feeding|Swollen Head|Twisted Neck|Lethargy,Avian Influenza
41.7,69.9,Low,Low,Weak,Twisted Neck|Nasal Discharge|Reduced Feeding|Sneezing,Avian Influenza
41.7,71.5,Low,Low,Weak,Reduced Egg Production|Swollen Head|Nasal Discharge|Sneezing|Twisted Neck|Coughing|Difficulty Breathing,Newcastle Disease
41.3,82.0,Medium,Low,Weak,Ruffled Feathers|Nasal Discharge|Coughing|Lethargy|Difficulty Breathing|Diarrhea|Reduced Feeding,Avian Influenza
40.6,56.4,Medium,High,Moderate,None,Healthy
42.5,98.2,Low,Low,Weak,Sneezing|Lethargy|Swollen Head,Avian Influenza
40.6,64.8,High,High,Moderate,None,Healthy
41.5,66.6,Medium,Medium,Weak,Twisted Neck|Sneezing|Coughing|Diarrhea|Lethargy|Reduced Egg Production|Reduced Feeding,Newcastle Disease
42.9,69.9,Low,Low,Weak,Diarrhea|Nasal Discharge|Twisted Neck|Watery Eyes|Coughing|Lethargy|Ruffled Feathers,Newcastle Disease
40.8,59.7,Medium,Medium,Weak,None,Healthy
42.7,71.6,Low,Medium,Weak,Sneezing|Difficulty Breathing|Reduced Egg Production|Diarrhea,Newcastle Disease
41.8,89.1,Medium,Low,Weak,Watery Eyes|Reduced Feeding|Nasal Discharge|Lethargy|Reduced Egg Production,Avian Influenza
40.9,54.1,High,High,Moderate,None,Healthy
40.9,53.7,Medium,Medium,Moderate,Nasal Discharge,Healthy
42.7,84.7,Low,Medium,Weak,Nasal Discharge|Watery Eyes|Ruffled Feathers|Lethargy|Swollen Head|Twisted Neck|Reduced Egg Production,Avian Influenza
42.4,87.8,Medium,Low,Weak,Coughing|Difficulty Breathing|Diarrhea,Newcastle Disease
40.8,83.0,Low,Medium,Moderate,Reduced Feeding|Reduced Egg Production|Nasal Discharge|Swollen Head|Diarrhea|Coughing,Avian Influenza
41.4,81.5,Medium,Low,Moderate,Diarrhea|Twisted Neck|Lethargy,Avian Influenza
41.9,69.0,Low,Low,Weak,Watery Eyes|Sneezing|Difficulty Breathing,Avian Influenza
42.0,59.1,Medium,Medium,Weak,Nasal Discharge|Watery Eyes|Lethargy|Sneezing|Reduced Feeding|Swollen Head|Ruffled Feathers,Avian Influenza
41.5,62.3,Low,High,Moderate,None,Healthy
41.2,66.0,High,High,Active,Difficulty Breathing|Reduced Egg Production,Healthy
41.5,72.8,Medium,Medium,Weak,Sneezing|Nasal Discharge|Coughing,Avian Influenza
42.7,84.3,Medium,Medium,Weak,Diarrhea|Watery Eyes|Twisted Neck|Swollen Head|Reduced Egg Production|Difficulty Breathing|Ruffled Feathers,Newcastle Disease
41.3,50.3,High,Low,Weak,None,Healthy
40.8,63.0,High,Low,Moderate,None,Healthy
42.4,71.3,Low,Low,Active,Nasal Discharge|Ruffled Feathers|Reduced Egg Production|Coughing|Reduced Feeding|Swollen Head,Avian Influenza
42.2,77.8,Low,Low,Weak,Difficulty Breathing|Twisted Neck|Sneezing|Ruffled Feathers|Reduced Feeding|Coughing,Newcastle Disease
42.7,74.5,Low,Low,Weak,Twisted Neck|Swollen Head|Difficulty Breathing,Newcastle Disease
42.5,93.2,Low,High,Weak,Ruffled Feathers|Twisted Neck|Sneezing|Coughing|Difficulty Breathing|Watery Eyes,Newcastle Disease
40.3,47.4,Medium,Low,Active,None,Healthy
41.2,77.5,Medium,High,Moderate,None,Healthy
40.7,54.4,Low,High,Moderate,None,Healthy
41.3,62.3,High,Medium,Moderate,None,Healthy
40.4,79.0,Low,Low,Weak,Lethargy|Watery Eyes|Reduced Egg Production|Ruffled Feathers|Swollen Head|Reduced Feeding,Avian Influenza
43.2,56.1,Low,Low,Weak,Ruffled Feathers|Reduced Egg Production|Coughing,Newcastle Disease
43.0,84.9,Low,Low,Weak,Lethargy|Diarrhea|Reduced Egg Production|Nasal Discharge|Swollen Head|Ruffled Feathers,Avian Influenza
42.1,78.8,Low,Low,Weak,Difficulty Breathing|Sneezing|Watery Eyes|Reduced Egg Production|Lethargy|Ruffled Feathers|Nasal Discharge,Avian Influenza
40.8,72.9,High,High,Moderate,None,Healthy
43.4,66.4,Low,Low,Moderate,Twisted Neck|Ruffled Feathers|Lethargy,Newcastle Disease
42.4,58.4,Low,Medium,Moderate,Nasal Discharge|Difficulty Breathing|Sneezing|Twisted Neck|Watery Eyes,Newcastle Disease
42.8,69.5,Low,Low,Moderate,Nasal Discharge|Lethargy|Sneezing|Twisted Neck|Difficulty Breathing|Swollen Head,Avian Influenza
40.7,64.1,Medium,High,Weak,None,Healthy
43.1,91.8,Low,Medium,Moderate,Reduced Feeding|Watery Eyes|Lethargy|Sneezing|Swollen Head,Newcastle Disease
41.7,63.4,Medium,Low,Weak,Difficulty Breathing|Reduced Feeding|Nasal Discharge|Reduced Egg Production|Twisted Neck|Coughing,Newcastle Disease
41.2,47.5,High,High,Moderate,None,Healthy
40.6,45.0,High,Medium,Active,None,Healthy
42.3,72.1,Low,High,Weak,Reduced Feeding|Difficulty Breathing|Twisted Neck|Sneezing|Nasal Discharge,Newcastle Disease
42.0,73.6,Low,Medium,Weak,Difficulty Breathing|Swollen Head|Nasal Discharge|Reduced Feeding|Ruffled Feathers|Lethargy|Reduced Egg Production,Avian Influenza
41.1,51.5,Medium,High,Active,None,Healthy
41.5,75.0,Low,Medium,Weak,Reduced Feeding|Sneezing|Reduced Egg Production|Ruffled Feathers,Newcastle Disease
40.9,57.8,High,Medium,Active,None,Healthy
41.6,59.2,Low,Low,Weak,Swollen Head|Reduced Egg Production|Difficulty Breathing|Twisted Neck|Reduced Feeding,Avian Influenza
41.8,58.4,High,Medium,Active,None,Healthy
42.7,72.5,Medium,Medium,Weak,Reduced Egg Production|Lethargy|Difficulty Breathing|Sneezing|Ruffled Feathers,Avian Influenza
41.1,56.8,Medium,High,Active,Sneezing|Difficulty Breathing,Healthy
41.4,61.7,High,Medium,Moderate,None,Healthy
41.4,49.0,Medium,High,Active,None,Healthy
40.6,49.3,Medium,High,Active,Sneezing,Healthy
43.0,89.9,Low,High,Weak,Twisted Neck|Difficulty Breathing|Reduced Feeding,Newcastle Disease
41.5,62.0,Medium,High,Active,None,Healthy
41.1,90.8,Low,Low,Weak,Lethargy|Diarrhea|Coughing|Swollen Head|Ruffled Feathers,Avian Influenza
41.7,63.6,Low,High,Moderate,None,Healthy
40.9,58.3,Medium,High,Moderate,None,Healthy
40.5,52.2,High,High,Moderate,None,Healthy
41.2,53.9,High,High,Weak,None,Healthy
41.6,66.9,High,High,Active,None,Healthy
43.4,65.5,Low,Low,Weak,Swollen Head|Diarrhea|Reduced Feeding,Newcastle Disease
42.5,77.3,Low,Medium,Weak,Nasal Discharge|Reduced Feeding|Watery Eyes,Newcastle Disease
42.5,71.9,Medium,Low,Weak,Nasal Discharge|Ruffled Feathers|Difficulty Breathing|Twisted Neck,Newcastle Disease
43.1,78.2,Low,Low,Weak,Difficulty Breathing|Coughing|Reduced Feeding|Twisted Neck|Diarrhea,Newcastle Disease
43.3,61.8,Low,High,Moderate,Ruffled Feathers|Lethargy|Reduced Egg Production|Difficulty Breathing|Diarrhea|Swollen Head|Coughing,Newcastle Disease
41.8,60.4,Medium,High,Active,Sneezing,Healthy
42.5,83.0,Medium,Medium,Moderate,Watery Eyes|Twisted Neck|Sneezing|Lethargy,Newcastle Disease
43.0,95.2,Low,Low,Weak,Swollen Head|Difficulty Breathing|Lethargy,Avian Influenza
42.7,85.9,Low,Low,Moderate,Sneezing|Reduced Feeding|Coughing,Newcastle Disease
42.2,97.9,Low,Low,Weak,Reduced Egg Production|Ruffled Feathers|Coughing,Newcastle Disease
41.0,64.6,High,High,Active,None,Healthy
41.5,88.7,Low,Low,Weak,Swollen Head|Lethargy|Reduced Egg Production,Avian Influenza
43.0,79.4,Low,Low,Weak,Reduced Feeding|Lethargy|Ruffled Feathers|Difficulty Breathing,Avian Influenza
42.8,88.2,Low,Medium,Weak,Coughing|Ruffled Feathers|Nasal Discharge|Lethargy,Newcastle Disease
42.1,66.8,Low,Medium,Weak,Nasal Discharge|Swollen Head|Difficulty Breathing|Ruffled Feathers|Sneezing|Watery Eyes,Avian Influenza
41.0,63.2,High,Medium,Active,None,Healthy
41.1,63.3,High,High,Moderate,None,Healthy
42.9,73.8,Low,Medium,Moderate,Watery Eyes|Lethargy|Difficulty Breathing|Coughing|Nasal Discharge,Avian Influenza
42.0,79.7,Low,Low,Moderate,Watery Eyes|Reduced Feeding|Difficulty Breathing|Lethargy|Reduced Egg Production|Coughing,Avian Influenza
41.4,75.5,Low,High,Moderate,None,Healthy
40.6,57.2,Medium,High,Moderate,None,Healthy
41.0,65.8,High,High,Active,None,Healthy
40.9,62.2,Medium,High,Active,None,Healthy
42.4,89.6,Low,Medium,Moderate,Sneezing|Reduced Feeding|Difficulty Breathing|Swollen Head|Reduced Egg Production|Watery Eyes|Lethargy,Avian Influenza
43.2,71.6,Low,Low,Weak,Lethargy|Difficulty Breathing|Coughing|Twisted Neck,Newcastle Disease
41.4,57.9,High,Medium,Weak,None,Healthy
41.4,67.5,High,High,Moderate,Lethargy,Healthy
41.5,61.9,High,Low,Weak,Reduced Feeding|Reduced Egg Production,Healthy
41.0,58.4,Low,Medium,Active,Reduced Egg Production|Lethargy,Healthy
42.1,90.8,High,High,Moderate,Coughing|Difficulty Breathing|Twisted Neck|Ruffled Feathers,Newcastle Disease
41.8,84.3,Low,Medium,Active,Nasal Discharge|Diarrhea|Lethargy|Swollen Head,Avian Influenza
42.0,62.4,Low,Low,Moderate,Difficulty Breathing|Nasal Discharge|Ruffled Feathers|Coughing|Lethargy|Diarrhea|Swollen Head,Avian Influenza
41.2,68.9,Medium,High,Active,None,Healthy
41.7,64.6,Low,Medium,Weak,Nasal Discharge|Difficulty Breathing|Ruffled Feathers|Lethargy|Sneezing,Avian Influenza
41.7,68.3,Low,Low,Weak,Lethargy|Sneezing|Ruffled Feathers|Diarrhea,Avian Influenza
42.5,78.4,Low,High,Weak,Coughing|Difficulty Breathing|Nasal Discharge|Watery Eyes,Avian Influenza
43.9,64.6,Low,Low,Weak,Lethargy|Nasal Discharge|Reduced Feeding|Difficulty Breathing|Coughing|Diarrhea,Newcastle Disease
41.6,46.0,Low,High,Active,Diarrhea,Healthy
41.5,46.7,Medium,High,Moderate,None,Healthy
40.6,51.0,Medium,High,Active,None,Healthy
41.4,61.4,High,High,Moderate,Ruffled Feathers|Sneezing,Healthy
41.4,62.8,Medium,High,Active,None,Healthy
41.7,59.5,Low,Low,Weak,Sneezing|Diarrhea|Ruffled Feathers|Watery Eyes|Nasal Discharge|Twisted Neck|Reduced Egg Production,Newcastle Disease
40.7,80.7,Medium,Low,Weak,Sneezing|Lethargy|Watery Eyes|Ruffled Feathers|Swollen Head,Avian Influenza
41.9,98.3,Low,Low,Weak,Reduced Feeding|Sneezing|Twisted Neck|Nasal Discharge|Reduced Egg Production|Watery Eyes|Difficulty Breathing,Newcastle Disease
41.1,56.1,Medium,High,Moderate,None,Healthy
41.7,64.9,High,Medium,Weak,Ruffled Feathers|Sneezing|Nasal Discharge,Avian Influenza
41.9,81.4,Low,Medium,Weak,Reduced Feeding|Coughing|Swollen Head|Sneezing,Avian Influenza
41.1,43.5,Low,Low,Weak,Nasal Discharge|Difficulty Breathing|Sneezing|Swollen Head|Reduced Feeding,Avian Influenza
42.8,75.2,High,Low,Weak,Watery Eyes|Difficulty Breathing|Coughing|Sneezing|Nasal Discharge,Avian Influenza
42.7,100.0,Low,Low,Weak,Reduced Feeding|Sneezing|Ruffled Feathers|Nasal Discharge|Reduced Egg Production|Watery Eyes,Newcastle Disease
41.7,60.8,Low,Low,Weak,Sneezing|Watery Eyes|Coughing,Avian Influenza
41.4,50.3,High,Medium,Active,None,Healthy
40.8,69.9,High,High,Active,None,Healthy
40.8,52.0,Medium,High,Active,None,Healthy
41.5,60.2,Medium,Medium,Active,Coughing|Reduced Egg Production,Healthy
41.5,55.0,Medium,Medium,Active,Lethargy,Healthy
43.6,78.2,Low,High,Moderate,Twisted Neck|Swollen Head|Nasal Discharge|Diarrhea|Reduced Egg Production,Newcastle Disease
41.2,56.4,Low,Medium,Moderate,Reduced Egg Production|Sneezing|Nasal Discharge|Lethargy|Watery Eyes,Avian Influenza
42.5,82.9,Low,Medium,Weak,Reduced Egg Production|Twisted Neck|Sneezing|Coughing|Diarrhea|Difficulty Breathing,Newcastle Disease
41.0,54.1,High,High,Moderate,Coughing,Healthy
40.9,61.7,Low,Low,Weak,Swollen Head|Lethargy|Difficulty Breathing|Nasal Discharge,Avian Influenza
43.1,74.3,Low,Low,Moderate,Sneezing|Twisted Neck|Difficulty Breathing|Nasal Discharge|Reduced Feeding|Coughing,Newcastle Disease
41.3,57.8,High,High,Moderate,None,Healthy
42.2,97.9,Medium,Medium,Weak,Difficulty Breathing|Twisted Neck|Swollen Head|Reduced Egg Production,Newcastle Disease
41.4,60.6,Medium,High,Moderate,Coughing,Healthy
41.2,68.7,Medium,Low,Active,Reduced Feeding,Healthy
42.9,79.1,Low,Low,Active,Watery Eyes|Lethargy|Difficulty Breathing|Swollen Head|Coughing|Reduced Egg Production|Diarrhea,Avian Influenza
41.6,66.2,High,Low,Moderate,Lethargy,Healthy
42.2,86.5,Medium,Low,Weak,Reduced Egg Production|Watery Eyes|Swollen Head,Newcastle Disease
41.8,83.8,Low,Low,Weak,Nasal Discharge|Sneezing|Diarrhea|Reduced Feeding|Difficulty Breathing,Avian Influenza
41.4,96.9,Medium,Low,Moderate,Sneezing|Nasal Discharge|Watery Eyes|Reduced Feeding,Avian Influenza
41.4,58.5,High,High,Weak,None,Healthy
40.7,68.6,High,Medium,Weak,None,Healthy
41.7,72.7,High,Medium,Active,None,Healthy
42.4,93.9,Low,Low,Moderate,Sneezing|Lethargy|Coughing|Nasal Discharge|Difficulty Breathing|Swollen Head,Newcastle Disease
42.8,93.9,Medium,Medium,Moderate,Reduced Egg Production|Ruffled Feathers|Watery Eyes,Newcastle Disease
41.8,47.5,High,High,Moderate,None,Healthy
41.6,76.3,Low,Medium,Weak,Difficulty Breathing|Ruffled Feathers|Twisted Neck|Reduced Egg Production|Lethargy,Avian Influenza
43.1,79.8,Low,Low,Weak,Twisted Neck|Reduced Egg Production|Sneezing|Diarrhea|Ruffled Feathers,Newcastle Disease
41.3,60.2,Medium,Medium,Active,Diarrhea,Healthy
42.9,87.1,Low,Medium,Moderate,Ruffled Feathers|Twisted Neck|Reduced Egg Production|Nasal Discharge|Sneezing,Newcastle Disease
42.4,75.8,Low,Low,Weak,Twisted Neck|Ruffled Feathers|Lethargy|Reduced Egg Production,Newcastle Disease
41.0,56.7,High,Medium,Active,Reduced Feeding,Healthy
41.3,58.8,High,High,Active,Diarrhea|Reduced Egg Production,Healthy
42.1,91.1,Low,Low,Weak,Diarrhea|Ruffled Feathers|Difficulty Breathing|Nasal Discharge|Swollen Head,Avian Influenza
42.6,63.3,Low,Medium,Weak,Lethargy|Watery Eyes|Twisted Neck|Swollen Head,Newcastle Disease
42.4,79.5,Low,Medium,Moderate,Nasal Discharge|Reduced Egg Production|Reduced Feeding,Newcastle Disease
42.7,79.1,Low,Low,Weak,Lethargy|Reduced Feeding|Watery Eyes|Twisted Neck|Sneezing,Newcastle Disease
41.6,48.2,Medium,High,Active,None,Healthy
40.8,60.8,Medium,High,Active,None,Healthy
41.9,72.1,Low,Medium,Weak,Coughing|Ruffled Feathers|Reduced Feeding|Difficulty Breathing,Newcastle Disease
41.3,63.4,High,High,Weak,None,Healthy
41.4,56.6,Medium,Medium,Weak,None,Healthy
42.6,58.0,Medium,Medium,Moderate,Difficulty Breathing|Coughing|Reduced Egg Production|Ruffled Feathers|Sneezing|Diarrhea|Lethargy,Avian Influenza
41.4,93.1,Low,Low,Weak,Nasal Discharge|Watery Eyes|Reduced Egg Production|Sneezing,Avian Influenza
41.6,71.6,Medium,Low,Weak,Difficulty Breathing|Swollen Head|Lethargy|Sneezing,Avian Influenza
41.4,64.6,Low,Medium,Weak,Watery Eyes|Reduced Egg Production|Coughing,Avian Influenza
40.8,64.5,Low,High,Moderate,Reduced Egg Production|Watery Eyes,Healthy
41.3,87.5,Medium,Low,Moderate,Reduced Feeding|Diarrhea|Difficulty Breathing|Swollen Head|Ruffled Feathers|Watery Eyes|Sneezing,Avian Influenza
42.1,67.3,High,High,Moderate,None,Healthy
42.2,82.3,Low,Low,Weak,Lethargy|Difficulty Breathing|Swollen Head|Coughing,Avian Influenza
42.1,86.9,Low,Low,Weak,Coughing|Ruffled Feathers|Reduced Egg Production|Difficulty Breathing,Avian Influenza
41.6,71.6,Low,Low,Weak,Ruffled Feathers|Difficulty Breathing|Watery Eyes|Swollen Head|Coughing|Reduced Egg Production,Avian Influenza
40.7,78.7,Low,Medium,Moderate,Lethargy|Coughing|Difficulty Breathing|Nasal Discharge|Swollen Head|Sneezing|Reduced Feeding,Avian Influenza
41.4,65.3,Low,Medium,Weak,Twisted Neck|Reduced Egg Production|Diarrhea|Difficulty Breathing|Nasal Discharge|Coughing,Newcastle Disease
40.7,63.2,Medium,Medium,Active,None,Healthy
43.2,78.8,Low,Low,Weak,Difficulty Breathing|Ruffled Feathers|Reduced Egg Production|Watery Eyes|Lethargy,Newcastle Disease
42.6,88.2,Medium,Low,Weak,Difficulty Breathing|Ruffled Feathers|Diarrhea|Coughing|Lethargy|Twisted Neck|Sneezing,Newcastle Disease
41.7,67.0,Medium,Medium,Active,None,Healthy
42.3,86.9,Low,Medium,Weak,Diarrhea|Coughing|Twisted Neck,Newcastle Disease
42.0,50.5,Low,Low,Weak,Ruffled Feathers|Lethargy|Nasal Discharge|Coughing,Avian Influenza
41.2,66.0,High,Low,Moderate,Coughing,Healthy
42.4,87.0,Low,High,Weak,Watery Eyes|Difficulty Breathing|Swollen Head|Nasal Discharge|Ruffled Feathers|Sneezing|Reduced Egg Production,Avian Influenza
41.8,79.1,Medium,Medium,Weak,Watery Eyes|Nasal Discharge|Coughing|Ruffled Feathers|Diarrhea|Sneezing,Avian Influenza
43.5,95.5,High,Low,Active,Nasal Discharge|Difficulty Breathing|Swollen Head|Reduced Feeding|Watery Eyes|Ruffled Feathers|Diarrhea,Avian Influenza
41.2,55.4,Low,Low,Active,Ruffled Feathers|Difficulty Breathing|Watery Eyes|Sneezing,Avian Influenza
42.2,62.5,Low,High,Weak,Lethargy|Nasal Discharge|Twisted Neck,Newcastle Disease
41.7,74.4,Low,Low,Weak,Ruffled Feathers|Difficulty Breathing|Sneezing|Nasal Discharge,Avian Influenza
41.0,76.1,Low,High,Weak,Diarrhea|Reduced Feeding|Nasal Discharge|Swollen Head,Avian Influenza
41.5,62.2,High,High,Moderate,Difficulty Breathing,Healthy
43.6,80.3,High,Low,Weak,Sneezing|Watery Eyes|Ruffled Feathers,Newcastle Disease
40.2,69.8,Low,Medium,Moderate,Swollen Head|Ruffled Feathers|Reduced Egg Production|Watery Eyes|Sneezing|Twisted Neck|Difficulty Breathing,Avian Influenza
42.3,68.3,Medium,High,Active,None,Healthy
41.6,59.4,Low,Low,Weak,Reduced Egg Production|Coughing|Twisted Neck|Difficulty Breathing|Sneezing,Newcastle Disease
42.7,64.9,Low,Medium,Moderate,Coughing|Reduced Feeding|Difficulty Breathing,Newcastle Disease
41.1,63.1,High,Low,Active,Difficulty Breathing,Healthy
41.7,76.0,Medium,Low,Weak,Reduced Egg Production|Coughing|Reduced Feeding|Watery Eyes|Twisted Neck|Sneezing|Ruffled Feathers,Newcastle Disease
41.6,54.2,Low,Low,Weak,Ruffled Feathers|Coughing|Reduced Feeding|Watery Eyes|Lethargy|Sneezing|Difficulty Breathing,Avian Influenza
42.5,88.7,Low,Medium,Weak,Difficulty Breathing|Coughing|Sneezing|Watery Eyes|Diarrhea|Ruffled Feathers,Newcastle Disease
40.7,49.1,High,Medium,Active,Difficulty Breathing|Lethargy,Healthy
40.8,48.3,High,High,Weak,None,Healthy
41.5,68.7,High,Medium,Active,None,Healthy
41.2,72.2,Low,Low,Weak,Nasal Discharge|Swollen Head|Watery Eyes|Coughing,Avian Influenza
40.7,71.6,Low,High,Moderate,Sneezing,Healthy
43.5,71.2,Low,Low,Active,Watery Eyes|Difficulty Breathing|Nasal Discharge|Lethargy|Coughing|Ruffled Feathers,Newcastle Disease
41.2,47.0,Medium,Medium,Active,None,Healthy
41.5,70.7,Medium,High,Moderate,Reduced Feeding,Healthy
42.0,68.8,Low,High,Weak,Nasal Discharge|Sneezing|Swollen Head|Reduced Egg Production|Watery Eyes|Difficulty Breathing|Diarrhea,Avian Influenza
42.6,75.8,Low,Low,Weak,Lethargy|Ruffled Feathers|Nasal Discharge,Avian Influenza
40.7,73.2,Medium,High,Active,None,Healthy
42.6,86.2,Low,Medium,Active,Watery Eyes|Twisted Neck|Ruffled Feathers|Coughing|Nasal Discharge|Difficulty Breathing|Swollen Head,Newcastle Disease
41.3,61.1,High,Medium,Active,None,Healthy
42.1,69.9,Low,Medium,Moderate,Lethargy|Sneezing|Twisted Neck|Diarrhea,Newcastle Disease
41.6,60.4,Medium,Low,Weak,Coughing|Lethargy|Difficulty Breathing|Sneezing|Swollen Head|Twisted Neck,Newcastle Disease
40.9,53.1,High,High,Moderate,Reduced Feeding,Healthy
41.3,60.3,High,High,Moderate,Coughing,Healthy
40.8,57.2,High,High,Active,None,Healthy
42.9,31.9,Medium,Low,Weak,Difficulty Breathing|Sneezing|Nasal Discharge|Swollen Head|Ruffled Feathers|Twisted Neck,Avian Influenza
42.1,90.4,Medium,Low,Weak,Reduced Feeding|Swollen Head|Lethargy|Watery Eyes|Nasal Discharge|Ruffled Feathers,Avian Influenza
41.7,70.7,Medium,Medium,Active,None,Healthy
43.1,61.9,Low,Low,Weak,Reduced Feeding|Difficulty Breathing|Swollen Head|Coughing|Nasal Discharge|Lethargy,Avian Influenza
41.4,68.4,High,High,Active,Nasal Discharge,Healthy
41.5,73.2,Medium,High,Active,None,Healthy
41.2,89.8,Low,Medium,Weak,Coughing|Difficulty Breathing|Swollen Head|Reduced Egg Production|Sneezing,Avian Influenza
41.8,93.7,Medium,Low,Weak,Sneezing|Nasal Discharge|Ruffled Feathers|Watery Eyes|Reduced Egg Production|Coughing|Difficulty Breathing,Avian Influenza
41.1,60.5,Low,Medium,Weak,Reduced Feeding|Swollen Head|Difficulty Breathing|Coughing|Watery Eyes|Sneezing,Avian Influenza
41.6,63.5,Low,Low,Weak,Nasal Discharge|Difficulty Breathing|Watery Eyes,Newcastle Disease
41.0,73.1,Medium,High,Active,Reduced Egg Production|Nasal Discharge,Healthy
42.3,64.8,Low,Medium,Weak,Swollen Head|Ruffled Feathers|Reduced Egg Production|Difficulty Breathing|Diarrhea,Avian Influenza
41.7,69.1,High,Medium,Weak,None,Healthy
42.1,78.1,Low,Medium,Weak,Ruffled Feathers|Reduced Egg Production|Swollen Head|Reduced Feeding|Difficulty Breathing,Newcastle Disease
41.0,58.1,High,Medium,Active,Coughing|Lethargy,Healthy
42.1,48.2,Medium,Medium,Weak,Coughing|Reduced Feeding|Sneezing|Swollen Head|Ruffled Feathers,Newcastle Disease
41.0,50.8,Medium,Medium,Weak,None,Healthy
41.4,40.4,Medium,High,Active,Coughing|Twisted Neck,Healthy
42.2,64.6,High,Low,Weak,Coughing|Difficulty Breathing|Ruffled Feathers|Nasal Discharge|Watery Eyes|Twisted Neck|Swollen Head,Avian Influenza
41.6,50.3,High,High,Weak,Reduced Feeding|Coughing,Healthy
42.4,72.5,Low,Low,Weak,Twisted Neck|Lethargy|Difficulty Breathing|Nasal Discharge,Newcastle Disease
41.3,58.2,High,High,Active,None,Healthy
41.4,58.1,High,High,Active,None,Healthy
41.0,63.4,High,Medium,Active,Coughing,Healthy
40.8,64.4,Low,High,Moderate,None,Healthy
